user,item,label
23,43391,5.0
57,43391,5.0
58,43391,5.0
59,43391,4.0
82,118558,5.0
23,118558,5.0
87,118558,5.0
121,169905,4.0
23,169905,4.0
125,169905,5.0
23,101252,5.0
144,101252,5.0
148,101252,5.0
164,11104,5.0
174,11104,5.0
184,11104,5.0
186,11104,5.0
188,11104,5.0
189,11104,4.0
193,11104,5.0
314,131256,5.0
317,131256,4.0
319,131256,4.0
23,131256,5.0
309,131256,5.0
324,131256,4.0
327,131256,4.0
337,131256,4.0
338,131256,4.0
341,131256,5.0
346,131256,4.0
353,131256,4.0
354,131256,4.0
359,131256,4.0
375,131256,5.0
376,131256,5.0
379,131256,5.0
381,131256,4.0
382,84300,4.0
386,84300,5.0
387,84300,4.0
396,84300,4.0
411,84300,5.0
23,131255,5.0
341,131255,4.0
419,131255,5.0
423,131255,4.0
346,131255,5.0
375,131255,5.0
435,131255,5.0
437,131255,4.0
438,131255,5.0
443,131255,5.0
359,131255,5.0
449,131255,5.0
324,131255,5.0
353,131255,4.0
454,131255,5.0
317,131255,4.0
458,131255,4.0
460,131255,4.0
23,183852,5.0
727,73721,4.0
728,73721,5.0
729,73721,5.0
730,73721,4.0
735,73721,4.0
309,73721,5.0
435,73721,5.0
739,73721,4.0
743,73721,5.0
309,7001,4.0
23,33314,5.0
1205,33314,5.0
23,38876,5.0
1234,38876,5.0
942,11955,5.0
1291,11955,5.0
1294,11955,5.0
23,11955,5.0
1319,162423,5.0
1320,162423,4.0
1321,162423,4.0
1334,162423,5.0
319,162423,5.0
1340,162423,5.0
1341,162423,4.0
1343,80777,5.0
1344,80777,5.0
1362,80777,4.0
1034,80777,5.0
1374,53639,4.0
1375,53639,4.0
1379,53639,4.0
1380,53639,4.0
1382,53639,4.0
1403,106406,5.0
23,106406,4.0
23,167709,5.0
1416,167709,5.0
1417,167709,5.0
1439,167709,5.0
1476,86055,5.0
1477,86055,5.0
23,49254,5.0
1488,49254,4.0
1490,49254,5.0
1493,49254,5.0
1508,49254,5.0
822,49254,5.0
1510,49254,4.0
1511,49254,4.0
23,101251,5.0
1537,101251,4.0
144,101251,4.0
148,101251,4.0
1544,45810,4.0
1171,45810,5.0
1094,45810,5.0
1565,158063,4.0
1571,158063,4.0
1572,158063,4.0
1573,158063,4.0
1574,158063,5.0
23,158063,5.0
1576,158063,4.0
1577,158063,4.0
1578,158063,4.0
23,10207,5.0
1586,10207,4.0
1591,10207,4.0
1597,10207,5.0
1599,10207,5.0
1611,10207,5.0
1616,10207,5.0
1624,10207,4.0
1626,10207,5.0
1629,10207,4.0
1639,10207,5.0
23,14196,5.0
1893,14196,5.0
1908,38016,5.0
1416,38016,5.0
1910,38016,4.0
23,38016,5.0
1913,38016,5.0
1914,38016,5.0
1915,38016,5.0
1917,38016,4.0
1918,38016,5.0
1920,38016,5.0
1923,38016,5.0
1924,38016,5.0
1930,38016,4.0
1931,38016,5.0
1935,38016,5.0
23,39233,5.0
1942,39233,5.0
2009,143214,5.0
2012,143214,5.0
2020,143214,4.0
2022,143214,5.0
2054,143214,4.0
2078,143214,5.0
2084,143214,5.0
23,85131,5.0
2106,85131,4.0
2107,85131,5.0
2109,85131,5.0
2135,85131,5.0
23,150342,5.0
2169,150342,5.0
2182,150342,5.0
2183,150342,5.0
2185,150342,4.0
2194,150342,4.0
2206,150342,5.0
2216,150342,4.0
2219,150342,5.0
2220,150342,5.0
2262,71895,5.0
2264,71895,4.0
23,71895,5.0
2267,71895,5.0
2270,71895,5.0
2271,71895,5.0
2275,71895,5.0
2305,85409,4.0
2306,85409,5.0
2308,85409,5.0
2325,85409,4.0
2327,85409,5.0
2329,85409,5.0
2347,85409,4.0
2349,85409,4.0
2351,85409,4.0
2359,85409,4.0
2361,85409,4.0
2367,85409,4.0
2371,85409,4.0
2373,25332,5.0
2374,25332,5.0
2375,25332,4.0
23,25332,5.0
2376,25332,5.0
1126,25332,5.0
2378,25332,4.0
2379,25332,5.0
1094,25332,4.0
2383,25332,5.0
2384,45970,5.0
2386,45970,4.0
23,45970,5.0
2387,45970,4.0
2388,45970,5.0
